Frame,Trigger Point,Trigger Point Base,Movement Window,Movement Window Age,Movement Level
0,30.0,10.0,354.0,304.0,239.0
1,30.0,10.0,347.0,297.0,236.0
2,30.0,10.0,340.0,290.0,229.0
3,30.0,10.0,336.0,286.0,223.0
4,30.0,10.0,331.0,281.0,218.0
5,30.0,10.0,328.0,278.0,214.0
6,30.0,10.0,322.0,272.0,210.0
7,30.0,10.0,315.0,265.0,204.0
8,30.0,10.0,311.0,261.0,199.0
9,30.0,10.0,310.0,260.0,198.0
10,30.0,10.0,305.0,255.0,197.0
11,30.0,10.0,299.0,249.0,194.0
12,30.0,10.0,293.0,243.0,196.0
13,30.0,10.0,289.0,239.0,199.0
14,30.0,10.0,285.0,235.0,207.0
15,30.0,10.0,282.0,232.0,215.0
16,30.0,10.0,279.0,229.0,228.0
17,30.0,10.0,276.0,226.0,241.0
18,30.0,10.0,276.0,226.0,262.0
19,30.0,10.0,276.0,226.0,282.0
20,30.0,10.0,276.0,226.0,296.0
21,30.0,10.0,283.0,233.0,316.0
22,30.0,10.0,290.0,240.0,336.0
23,30.0,10.0,304.0,254.0,357.0
24,30.0,10.0,316.0,266.0,377.0
25,30.0,10.0,335.0,285.0,397.0
26,30.0,10.0,353.0,303.0,421.0
27,30.0,10.0,382.0,332.0,445.0
28,30.0,10.0,410.0,360.0,481.0
29,30.0,10.0,429.0,379.0,518.0
30,30.0,10.0,457.0,407.0,545.0
31,30.0,10.0,484.0,434.0,574.0
32,30.0,10.0,512.0,462.0,603.0
33,30.0,10.0,539.0,489.0,632.0
34,30.0,10.0,566.0,516.0,659.0
35,30.0,10.0,598.0,548.0,687.0
36,30.0,10.0,629.0,579.0,716.0
37,30.0,10.0,677.0,627.0,744.0
38,30.0,10.0,727.0,677.0,771.0
39,30.0,10.0,764.0,714.0,800.0
