Timestamp,Trigger Point,Trigger Point Base,Movement History Window,Movement History Age,Subtraction Threshold,Subtraction History,Average,Variable Trigger Point,Variable Trigger Point Base,Highest Peak,Trigger Value
2023-11-16 14:17,40,20,20,10,40,100,0,40,20,58,51
2023-11-16 14:17,40,20,20,10,40,100,9,49,29,58,0
2023-11-16 14:18,40,20,20,10,40,100,6,46,26,33,0
2023-11-16 14:19,40,20,20,10,40,100,8,48,28,58,0
2023-11-16 14:19,40,20,20,10,40,100,8,48,28,49,58
2023-11-16 14:20,40,20,20,10,40,100,4,44,24,49,0
2023-11-16 14:20,40,20,20,10,40,100,4,44,24,41,41
2023-11-16 14:21,40,20,20,10,40,100,4,44,24,85,85
2023-11-16 14:21,40,20,20,10,40,100,11,51,31,85,0
2023-11-16 14:22,40,20,20,10,40,100,11,51,31,61,56
2023-11-16 14:22,40,20,20,10,40,100,11,51,31,61,0
2023-11-16 14:22,40,20,20,10,40,100,11,51,31,78,78
2023-11-16 14:23,40,20,20,10,40,100,11,51,31,78,0
2023-11-16 14:24,40,20,20,10,40,100,11,51,31,57,57
2023-11-16 14:24,40,20,20,10,40,100,10,50,30,57,0
2023-11-16 14:25,40,20,20,10,40,100,7,47,27,27,0
2023-11-16 14:26,40,20,20,10,40,100,7,47,27,30,0
2023-11-16 14:27,40,20,20,10,40,100,3,43,23,16,0
2023-11-16 14:28,40,20,20,10,40,100,6,46,26,48,0
2023-11-16 14:29,40,20,20,10,40,100,6,46,26,74,62
2023-11-16 14:29,40,20,20,10,40,100,10,50,30,74,0
2023-11-16 14:29,40,20,20,10,40,100,10,50,30,13,53
2023-11-16 14:30,40,20,20,10,40,100,7,47,27,35,0
2023-11-16 14:31,40,20,20,10,40,100,9,49,29,58,0
2023-11-16 14:32,40,20,20,10,40,100,6,46,26,58,0
2023-11-16 14:32,40,20,20,10,40,100,6,46,26,47,58
2023-11-16 14:33,40,20,20,10,40,100,6,46,26,47,0
2023-11-16 14:33,40,20,20,10,40,100,6,46,26,61,61
2023-11-16 14:34,40,20,20,10,40,100,12,52,32,84,0
2023-11-16 14:34,40,20,20,10,40,100,12,52,32,8,84
2023-11-16 14:35,40,20,20,10,40,100,9,49,29,47,0
2023-11-16 14:36,40,20,20,10,40,100,5,45,25,42,0
2023-11-16 14:37,40,20,20,10,40,100,5,45,25,71,71
2023-11-16 14:37,40,20,20,10,40,100,9,49,29,71,0
2023-11-16 14:38,40,20,20,10,40,100,7,47,27,39,0
2023-11-16 14:39,40,20,20,10,40,100,6,46,26,40,0
2023-11-16 14:39,40,20,20,10,40,100,6,46,26,70,54
2023-11-16 14:40,40,20,20,10,40,100,11,51,31,70,0
2023-11-16 14:41,40,20,20,10,40,100,11,51,31,44,44
2023-11-16 14:41,40,20,20,10,40,100,9,49,29,44,0
2023-11-16 14:42,40,20,20,10,40,100,9,49,29,61,61
2023-11-16 14:42,40,20,20,10,40,100,6,46,26,61,0
2023-11-16 14:43,40,20,20,10,40,100,8,48,28,47,0
2023-11-16 14:44,40,20,20,10,40,100,5,45,25,28,0
2023-11-16 14:45,40,20,20,10,40,100,8,48,28,35,0
2023-11-16 14:46,40,20,20,10,40,100,6,46,26,25,0
2023-11-16 14:47,40,20,20,10,40,100,5,45,25,27,0
2023-11-16 14:48,40,20,20,10,40,100,6,46,26,33,0
2023-11-16 14:48,40,20,20,10,40,100,6,46,26,144,144
2023-11-16 14:49,40,20,20,10,40,100,9,49,29,144,0
2023-11-16 14:49,40,20,20,10,40,100,9,49,29,42,54
2023-11-16 14:50,40,20,20,10,40,100,8,48,28,42,0
2023-11-16 14:51,40,20,20,10,40,100,8,48,28,90,90
2023-11-16 14:51,40,20,20,10,40,100,11,51,31,90,0
2023-11-16 14:51,40,20,20,10,40,100,11,51,31,50,50
2023-11-16 14:52,40,20,20,10,40,100,11,51,31,98,98
2023-11-16 14:52,40,20,20,10,40,100,11,51,31,98,0
2023-11-16 14:53,40,20,20,10,40,100,8,48,28,51,0
2023-11-16 14:54,40,20,20,10,40,100,8,48,28,64,46
2023-11-16 14:54,40,20,20,10,40,100,9,49,29,64,0
2023-11-16 14:55,40,20,20,10,40,100,6,46,26,41,0
2023-11-16 14:56,40,20,20,10,40,100,10,50,30,55,0
2023-11-16 14:57,40,20,20,10,40,100,6,46,26,35,0
2023-11-16 14:58,40,20,20,10,40,100,7,47,27,39,0
2023-11-16 14:59,40,20,20,10,40,100,7,47,27,38,0
2023-11-16 15:00,40,20,20,10,40,100,7,47,27,36,0
2023-11-16 15:01,40,20,20,10,40,100,7,47,27,28,0
2023-11-16 15:02,40,20,20,10,40,100,7,47,27,37,0
2023-11-16 15:03,40,20,20,10,40,100,5,45,25,43,0
2023-11-16 15:04,40,20,20,10,40,100,8,48,28,30,0
2023-11-16 15:05,40,20,20,10,40,100,5,45,25,27,0
2023-11-16 15:06,40,20,20,10,40,100,7,47,27,28,0
2023-11-16 15:07,40,20,20,10,40,100,7,47,27,38,0
2023-11-16 15:08,40,20,20,10,40,100,5,45,25,22,0
2023-11-16 15:08,40,20,20,10,40,100,5,45,25,76,76
2023-11-16 15:09,40,20,20,10,40,100,11,51,31,76,0
2023-11-16 15:10,40,20,20,10,40,100,7,47,27,32,0
